,extract_method,mapping_method,mapping_batch_size,mapping_num_features,mapping_cumulative_bovw,predict_method,mapping_dropout,mapping_dropout_rate,valid-acc
0,sift,minibatch_kmeans,256,512,False,log-regr,,,0.6225961538461539
1,orb,minibatch_kmeans,256,512,False,log-regr,,,0.3413461538461538
2,sift,minibatch_kmeans,512,512,False,log-regr,,,0.6081730769230769
3,orb,minibatch_kmeans,512,512,False,log-regr,,,0.3269230769230769
4,sift,minibatch_kmeans,256,1024,False,log-regr,,,0.6778846153846154
5,orb,minibatch_kmeans,256,1024,False,log-regr,,,0.3605769230769231
6,sift,minibatch_kmeans,512,1024,False,log-regr,,,0.65625
7,orb,minibatch_kmeans,512,1024,False,log-regr,,,0.3389423076923077
8,sift,minibatch_kmeans,256,2048,False,log-regr,,,0.6322115384615384
9,orb,minibatch_kmeans,256,2048,False,log-regr,,,0.3653846153846153
10,sift,minibatch_kmeans,512,2048,False,log-regr,,,0.6754807692307693
11,orb,minibatch_kmeans,512,2048,False,log-regr,,,0.4206730769230769
12,sift,minibatch_kmeans,256,512,False,svm,,,0.6778846153846154
13,orb,minibatch_kmeans,256,512,False,svm,,,0.4519230769230769
14,sift,minibatch_kmeans,512,512,False,svm,,,0.6634615384615384
15,orb,minibatch_kmeans,512,512,False,svm,,,0.4471153846153846
16,sift,minibatch_kmeans,256,1024,False,svm,,,0.6971153846153846
17,orb,minibatch_kmeans,256,1024,False,svm,,,0.4519230769230769
18,sift,minibatch_kmeans,512,1024,False,svm,,,0.6971153846153846
19,orb,minibatch_kmeans,512,1024,False,svm,,,0.4158653846153846
20,sift,minibatch_kmeans,256,2048,False,svm,,,0.6947115384615384
21,orb,minibatch_kmeans,256,2048,False,svm,,,0.4326923076923077
22,sift,minibatch_kmeans,512,2048,False,svm,,,0.7091346153846154
23,orb,minibatch_kmeans,512,2048,False,svm,,,0.4254807692307692
24,sift,minibatch_kmeans,256,512,False,ridge,,,0.5336538461538461
25,orb,minibatch_kmeans,256,512,False,ridge,,,0.2788461538461538
26,sift,minibatch_kmeans,512,512,False,ridge,,,0.5336538461538461
27,orb,minibatch_kmeans,512,512,False,ridge,,,0.3100961538461538
28,sift,minibatch_kmeans,256,1024,False,ridge,,,0.4447115384615384
29,orb,minibatch_kmeans,256,1024,False,ridge,,,0.2644230769230769
30,sift,minibatch_kmeans,512,1024,False,ridge,,,0.4302884615384615
31,orb,minibatch_kmeans,512,1024,False,ridge,,,0.2716346153846153
32,sift,minibatch_kmeans,256,2048,False,ridge,,,0.3269230769230769
33,orb,minibatch_kmeans,256,2048,False,ridge,,,0.2379807692307692
34,sift,minibatch_kmeans,512,2048,False,ridge,,,0.3245192307692308
35,orb,minibatch_kmeans,512,2048,False,ridge,,,0.2091346153846154
36,sift,minibatch_kmeans,256,512,False,log-regr,,,0.5600961538461539
37,orb,minibatch_kmeans,256,512,False,log-regr,,,0.3221153846153846
38,sift,minibatch_kmeans,512,512,False,log-regr,,,0.5576923076923077
39,orb,minibatch_kmeans,512,512,False,log-regr,,,0.2644230769230769
40,sift,minibatch_kmeans,256,512,False,log-regr,,,0.6298076923076923
41,orb,minibatch_kmeans,256,512,False,log-regr,,,0.2908653846153846
42,sift,minibatch_kmeans,512,512,False,log-regr,,,0.5745192307692307
43,orb,minibatch_kmeans,512,512,False,log-regr,,,0.3100961538461538
44,sift,minibatch_kmeans,256,1024,False,log-regr,,,0.6778846153846154
45,orb,minibatch_kmeans,256,1024,False,log-regr,,,0.3221153846153846
46,sift,minibatch_kmeans,512,1024,False,log-regr,,,0.6370192307692307
47,orb,minibatch_kmeans,512,1024,False,log-regr,,,0.3701923076923077
48,sift,minibatch_kmeans,256,2048,False,log-regr,,,0.6514423076923077
49,orb,minibatch_kmeans,256,2048,False,log-regr,,,0.4110576923076923
50,sift,minibatch_kmeans,512,2048,False,log-regr,,,0.6875
51,orb,minibatch_kmeans,512,2048,False,log-regr,,,0.3990384615384615
52,sift,minibatch_kmeans,256,512,False,svm,,,0.7091346153846154
53,orb,minibatch_kmeans,256,512,False,svm,,,0.4495192307692308
54,sift,minibatch_kmeans,512,512,False,svm,,,0.6899038461538461
55,orb,minibatch_kmeans,512,512,False,svm,,,0.4038461538461538
56,sift,minibatch_kmeans,256,1024,False,svm,,,0.7091346153846154
57,orb,minibatch_kmeans,256,1024,False,svm,,,0.4182692307692308
58,sift,minibatch_kmeans,512,1024,False,svm,,,0.7091346153846154
59,orb,minibatch_kmeans,512,1024,False,svm,,,0.4447115384615384
60,sift,minibatch_kmeans,256,2048,False,svm,,,0.7043269230769231
61,orb,minibatch_kmeans,256,2048,False,svm,,,0.4927884615384615
62,sift,minibatch_kmeans,512,2048,False,svm,,,0.6947115384615384
63,orb,minibatch_kmeans,512,2048,False,svm,,,0.4567307692307692
64,sift,minibatch_kmeans,256,512,False,cv-log-reg,,,0.6706730769230769
65,orb,minibatch_kmeans,256,512,False,cv-log-reg,,,0.4230769230769231
66,sift,minibatch_kmeans,512,512,False,cv-log-reg,,,0.6706730769230769
67,orb,minibatch_kmeans,512,512,False,cv-log-reg,,,0.4375
68,sift,minibatch_kmeans,256,1024,False,cv-log-reg,,,0.6826923076923077
69,orb,minibatch_kmeans,256,1024,False,cv-log-reg,,,0.4519230769230769
70,sift,minibatch_kmeans,512,1024,False,cv-log-reg,,,0.6923076923076923
71,orb,minibatch_kmeans,512,1024,False,cv-log-reg,,,0.4350961538461538
72,sift,minibatch_kmeans,256,2048,False,cv-log-reg,,,0.6802884615384616
73,orb,minibatch_kmeans,256,2048,False,cv-log-reg,,,0.4350961538461538
74,sift,minibatch_kmeans,512,2048,False,cv-log-reg,,,0.6971153846153846
75,orb,minibatch_kmeans,512,2048,False,cv-log-reg,,,0.4735576923076923
76,sift,minibatch_kmeans,256,512,False,cv-ridge,,,0.5264423076923077
77,orb,minibatch_kmeans,256,512,False,cv-ridge,,,0.3004807692307692
78,sift,minibatch_kmeans,512,512,False,cv-ridge,,,0.5240384615384616
79,orb,minibatch_kmeans,512,512,False,cv-ridge,,,0.2740384615384615
80,sift,minibatch_kmeans,256,1024,False,cv-ridge,,,0.46875
81,orb,minibatch_kmeans,256,1024,False,cv-ridge,,,0.2548076923076923
82,sift,minibatch_kmeans,512,1024,False,cv-ridge,,,0.4783653846153846
83,orb,minibatch_kmeans,512,1024,False,cv-ridge,,,0.2980769230769231
84,sift,minibatch_kmeans,256,2048,False,cv-ridge,,,0.4254807692307692
85,orb,minibatch_kmeans,256,2048,False,cv-ridge,,,0.2427884615384615
86,sift,minibatch_kmeans,512,2048,False,cv-ridge,,,0.4110576923076923
87,orb,minibatch_kmeans,512,2048,False,cv-ridge,,,0.2860576923076923
88,sift,minibatch_kmeans,256,512,,log-reg,False,0.1,0.5576923076923077
89,sift,minibatch_kmeans,512,1024,,log-reg,False,0.1,0.6538461538461539
90,orb,minibatch_kmeans,512,1024,,log-reg,False,0.1,0.3245192307692308
91,sift,minibatch_kmeans,512,2048,,log-reg,False,0.1,0.65625
92,orb,minibatch_kmeans,512,2048,,log-reg,False,0.1,0.3677884615384615
93,sift,minibatch_kmeans,512,1024,,log-reg,True,0.1,0.6322115384615384
94,orb,minibatch_kmeans,512,1024,,log-reg,True,0.1,0.3197115384615384
95,sift,minibatch_kmeans,512,2048,,log-reg,True,0.1,0.6971153846153846
96,orb,minibatch_kmeans,512,2048,,log-reg,True,0.1,0.3774038461538461
97,sift,minibatch_kmeans,512,1024,,log-reg,False,0.2,0.6658653846153846
98,orb,minibatch_kmeans,512,1024,,log-reg,False,0.2,0.3341346153846153
99,sift,minibatch_kmeans,512,2048,,log-reg,False,0.2,0.6995192307692307
100,orb,minibatch_kmeans,512,2048,,log-reg,False,0.2,0.3605769230769231
101,sift,minibatch_kmeans,512,1024,,log-reg,True,0.2,0.65625
102,orb,minibatch_kmeans,512,1024,,log-reg,True,0.2,0.3581730769230769
103,sift,minibatch_kmeans,512,2048,,log-reg,True,0.2,0.6538461538461539
104,orb,minibatch_kmeans,512,2048,,log-reg,True,0.2,0.3918269230769231
105,sift,minibatch_kmeans,512,1024,,log-reg,False,0.3,0.6658653846153846
106,orb,minibatch_kmeans,512,1024,,log-reg,False,0.3,0.3269230769230769
107,sift,minibatch_kmeans,512,2048,,log-reg,False,0.3,0.6923076923076923
108,orb,minibatch_kmeans,512,2048,,log-reg,False,0.3,0.4182692307692308
109,sift,minibatch_kmeans,512,1024,,log-reg,True,0.3,0.6875
110,orb,minibatch_kmeans,512,1024,,log-reg,True,0.3,0.3076923076923077
111,sift,minibatch_kmeans,512,2048,,log-reg,True,0.3,0.6850961538461539
112,orb,minibatch_kmeans,512,2048,,log-reg,True,0.3,0.3221153846153846
113,sift,minibatch_kmeans,512,1024,,log-reg,False,0.4,0.65625
114,orb,minibatch_kmeans,512,1024,,log-reg,False,0.4,0.34375
115,sift,minibatch_kmeans,512,2048,,log-reg,False,0.4,0.6995192307692307
116,orb,minibatch_kmeans,512,2048,,log-reg,False,0.4,0.3605769230769231
117,sift,minibatch_kmeans,512,1024,,log-reg,True,0.4,0.6538461538461539
118,orb,minibatch_kmeans,512,1024,,log-reg,True,0.4,0.3341346153846153
119,sift,minibatch_kmeans,512,2048,,log-reg,True,0.4,0.6875
120,orb,minibatch_kmeans,512,2048,,log-reg,True,0.4,0.3918269230769231
121,sift,minibatch_kmeans,512,1024,,svm,False,0.1,0.6057692307692307
122,orb,minibatch_kmeans,512,1024,,svm,False,0.1,0.28125
123,sift,minibatch_kmeans,512,2048,,svm,False,0.1,0.6009615384615384
124,orb,minibatch_kmeans,512,2048,,svm,False,0.1,0.2884615384615384
125,sift,minibatch_kmeans,512,1024,,svm,True,0.1,0.6322115384615384
126,orb,minibatch_kmeans,512,1024,,svm,True,0.1,0.2980769230769231
127,sift,minibatch_kmeans,512,2048,,svm,True,0.1,0.6057692307692307
128,orb,minibatch_kmeans,512,2048,,svm,True,0.1,0.2788461538461538
129,sift,minibatch_kmeans,512,1024,,svm,False,0.2,0.6394230769230769
130,orb,minibatch_kmeans,512,1024,,svm,False,0.2,0.2908653846153846
131,sift,minibatch_kmeans,512,2048,,svm,False,0.2,0.59375
132,orb,minibatch_kmeans,512,2048,,svm,False,0.2,0.2764423076923077
133,sift,minibatch_kmeans,512,1024,,svm,True,0.2,0.6105769230769231
134,orb,minibatch_kmeans,512,1024,,svm,True,0.2,0.2932692307692308
135,sift,minibatch_kmeans,512,2048,,svm,True,0.2,0.6057692307692307
136,orb,minibatch_kmeans,512,2048,,svm,True,0.2,0.2836538461538461
137,sift,minibatch_kmeans,512,1024,,svm,False,0.3,0.6153846153846154
138,orb,minibatch_kmeans,512,1024,,svm,False,0.3,0.3004807692307692
139,sift,minibatch_kmeans,512,2048,,svm,False,0.3,0.625
140,orb,minibatch_kmeans,512,2048,,svm,False,0.3,0.2908653846153846
141,sift,minibatch_kmeans,512,1024,,svm,True,0.3,0.6201923076923077
142,orb,minibatch_kmeans,512,1024,,svm,True,0.3,0.2956730769230769
143,sift,minibatch_kmeans,512,2048,,svm,True,0.3,0.6274038461538461
144,orb,minibatch_kmeans,512,2048,,svm,True,0.3,0.2908653846153846
145,sift,minibatch_kmeans,512,1024,,svm,False,0.4,0.6177884615384616
146,orb,minibatch_kmeans,512,1024,,svm,False,0.4,0.2908653846153846
147,sift,minibatch_kmeans,512,2048,,svm,False,0.4,0.6129807692307693
148,orb,minibatch_kmeans,512,2048,,svm,False,0.4,0.2764423076923077
149,sift,minibatch_kmeans,512,1024,,svm,True,0.4,0.6274038461538461
150,orb,minibatch_kmeans,512,1024,,svm,True,0.4,0.2908653846153846
151,sift,minibatch_kmeans,512,2048,,svm,True,0.4,0.59375
152,orb,minibatch_kmeans,512,2048,,svm,True,0.4,0.2716346153846153
153,sift,minibatch_kmeans,512,1024,,cv-log-reg,False,0.1,0.6802884615384616
154,orb,minibatch_kmeans,512,1024,,cv-log-reg,False,0.1,0.3605769230769231
155,sift,minibatch_kmeans,512,2048,,cv-log-reg,False,0.1,0.7043269230769231
156,orb,minibatch_kmeans,512,2048,,cv-log-reg,False,0.1,0.4038461538461538
157,sift,minibatch_kmeans,512,1024,,cv-log-reg,True,0.1,0.6610576923076923
158,orb,minibatch_kmeans,512,1024,,cv-log-reg,True,0.1,0.3557692307692308
159,sift,minibatch_kmeans,512,2048,,cv-log-reg,True,0.1,0.6947115384615384
160,orb,minibatch_kmeans,512,2048,,cv-log-reg,True,0.1,0.4014423076923077
161,sift,minibatch_kmeans,512,1024,,cv-log-reg,False,0.2,0.6778846153846154
162,orb,minibatch_kmeans,512,1024,,cv-log-reg,False,0.2,0.3461538461538461
163,sift,minibatch_kmeans,512,2048,,cv-log-reg,False,0.2,0.7043269230769231
164,orb,minibatch_kmeans,512,2048,,cv-log-reg,False,0.2,0.3870192307692308
165,sift,minibatch_kmeans,512,1024,,cv-log-reg,True,0.2,0.6802884615384616
166,orb,minibatch_kmeans,512,1024,,cv-log-reg,True,0.2,0.3629807692307692
167,sift,minibatch_kmeans,512,2048,,cv-log-reg,True,0.2,0.6899038461538461
168,orb,minibatch_kmeans,512,2048,,cv-log-reg,True,0.2,0.3942307692307692
169,sift,minibatch_kmeans,512,1024,,cv-log-reg,False,0.3,0.6610576923076923
170,orb,minibatch_kmeans,512,1024,,cv-log-reg,False,0.3,0.3581730769230769
171,sift,minibatch_kmeans,512,2048,,cv-log-reg,False,0.3,0.6850961538461539
172,orb,minibatch_kmeans,512,2048,,cv-log-reg,False,0.3,0.3533653846153846
173,sift,minibatch_kmeans,512,1024,,cv-log-reg,True,0.3,0.6634615384615384
174,orb,minibatch_kmeans,512,1024,,cv-log-reg,True,0.3,0.3701923076923077
175,sift,minibatch_kmeans,512,2048,,cv-log-reg,True,0.3,0.6850961538461539
176,orb,minibatch_kmeans,512,2048,,cv-log-reg,True,0.3,0.3653846153846153
177,sift,minibatch_kmeans,512,1024,,cv-log-reg,False,0.4,0.6442307692307693
178,orb,minibatch_kmeans,512,1024,,cv-log-reg,False,0.4,0.3413461538461538
179,sift,minibatch_kmeans,512,2048,,cv-log-reg,False,0.4,0.7043269230769231
180,orb,minibatch_kmeans,512,2048,,cv-log-reg,False,0.4,0.3774038461538461
181,sift,minibatch_kmeans,512,1024,,cv-log-reg,True,0.4,0.6730769230769231
182,orb,minibatch_kmeans,512,1024,,cv-log-reg,True,0.4,0.34375
183,sift,minibatch_kmeans,512,2048,,cv-log-reg,True,0.4,0.7019230769230769
184,orb,minibatch_kmeans,512,2048,,cv-log-reg,True,0.4,0.3846153846153846
185,sift,minibatch_kmeans,512,1024,,cv-ridge,False,0.1,0.5048076923076923
186,orb,minibatch_kmeans,512,1024,,cv-ridge,False,0.1,0.2668269230769231
187,sift,minibatch_kmeans,512,2048,,cv-ridge,False,0.1,0.5144230769230769
188,orb,minibatch_kmeans,512,2048,,cv-ridge,False,0.1,0.2932692307692308
189,sift,minibatch_kmeans,512,1024,,cv-ridge,True,0.1,0.5168269230769231
190,orb,minibatch_kmeans,512,1024,,cv-ridge,True,0.1,0.2860576923076923
191,sift,minibatch_kmeans,512,2048,,cv-ridge,True,0.1,0.4759615384615384
192,orb,minibatch_kmeans,512,2048,,cv-ridge,True,0.1,0.2860576923076923
193,sift,minibatch_kmeans,512,1024,,cv-ridge,False,0.2,0.5120192307692307
194,orb,minibatch_kmeans,512,1024,,cv-ridge,False,0.2,0.3245192307692308
195,sift,minibatch_kmeans,512,2048,,cv-ridge,False,0.2,0.5336538461538461
196,orb,minibatch_kmeans,512,2048,,cv-ridge,False,0.2,0.2644230769230769
197,sift,minibatch_kmeans,512,1024,,cv-ridge,True,0.2,0.5288461538461539
198,orb,minibatch_kmeans,512,1024,,cv-ridge,True,0.2,0.2932692307692308
199,sift,minibatch_kmeans,512,2048,,cv-ridge,True,0.2,0.4975961538461538
200,orb,minibatch_kmeans,512,2048,,cv-ridge,True,0.2,0.2572115384615384
201,sift,minibatch_kmeans,512,1024,,cv-ridge,False,0.3,0.4975961538461538
202,orb,minibatch_kmeans,512,1024,,cv-ridge,False,0.3,0.2548076923076923
203,sift,minibatch_kmeans,512,2048,,cv-ridge,False,0.3,0.4567307692307692
204,orb,minibatch_kmeans,512,2048,,cv-ridge,False,0.3,0.2716346153846153
205,sift,minibatch_kmeans,512,1024,,cv-ridge,True,0.3,0.5048076923076923
206,orb,minibatch_kmeans,512,1024,,cv-ridge,True,0.3,0.2836538461538461
207,sift,minibatch_kmeans,512,2048,,cv-ridge,True,0.3,0.5120192307692307
208,orb,minibatch_kmeans,512,2048,,cv-ridge,True,0.3,0.2644230769230769
209,sift,minibatch_kmeans,512,1024,,cv-ridge,False,0.4,0.5264423076923077
210,orb,minibatch_kmeans,512,1024,,cv-ridge,False,0.4,0.2908653846153846
211,sift,minibatch_kmeans,512,2048,,cv-ridge,False,0.4,0.5264423076923077
212,orb,minibatch_kmeans,512,2048,,cv-ridge,False,0.4,0.25
213,sift,minibatch_kmeans,512,1024,,cv-ridge,True,0.4,0.5120192307692307
214,orb,minibatch_kmeans,512,1024,,cv-ridge,True,0.4,0.2668269230769231
215,sift,minibatch_kmeans,512,2048,,cv-ridge,True,0.4,0.4831730769230769
216,orb,minibatch_kmeans,512,2048,,cv-ridge,True,0.4,0.2596153846153846
