extract_method,mapping_method,mapping_batch_size,mapping_num_features,mapping_cumulative_bovw,predict_method,mapping_dropout,mapping_dropout_rate,accuracy
sift,minibatch_kmeans,512,1024,False,svm,,,0.7091346153846154
sift,minibatch_kmeans,256,1024,False,svm,,,0.7091346153846154
sift,minibatch_kmeans,512,2048,False,svm,,,0.7091346153846154
sift,minibatch_kmeans,256,512,False,svm,,,0.7091346153846154
sift,minibatch_kmeans,256,2048,False,svm,,,0.7043269230769231
sift,minibatch_kmeans,512,2048,,cv-log-reg,False,0.4,0.7043269230769231
sift,minibatch_kmeans,512,2048,,cv-log-reg,False,0.2,0.7043269230769231
sift,minibatch_kmeans,512,2048,,cv-log-reg,False,0.1,0.7043269230769231
sift,minibatch_kmeans,512,2048,,cv-log-reg,True,0.4,0.7019230769230769
sift,minibatch_kmeans,512,2048,,log-reg,False,0.4,0.6995192307692307
sift,minibatch_kmeans,512,2048,,log-reg,False,0.2,0.6995192307692307
sift,minibatch_kmeans,256,1024,False,svm,,,0.6971153846153846
sift,minibatch_kmeans,512,1024,False,svm,,,0.6971153846153846
sift,minibatch_kmeans,512,2048,False,cv-log-reg,,,0.6971153846153846
sift,minibatch_kmeans,512,2048,,log-reg,True,0.1,0.6971153846153846
sift,minibatch_kmeans,256,2048,False,svm,,,0.6947115384615384
sift,minibatch_kmeans,512,2048,,cv-log-reg,True,0.1,0.6947115384615384
sift,minibatch_kmeans,512,2048,False,svm,,,0.6947115384615384
sift,minibatch_kmeans,512,1024,False,cv-log-reg,,,0.6923076923076923
sift,minibatch_kmeans,512,2048,,log-reg,False,0.3,0.6923076923076923
sift,minibatch_kmeans,512,512,False,svm,,,0.6899038461538461
sift,minibatch_kmeans,512,2048,,cv-log-reg,True,0.2,0.6899038461538461
sift,minibatch_kmeans,512,1024,,log-reg,True,0.3,0.6875
sift,minibatch_kmeans,512,2048,False,log-regr,,,0.6875
sift,minibatch_kmeans,512,2048,,log-reg,True,0.4,0.6875
sift,minibatch_kmeans,512,2048,,cv-log-reg,True,0.3,0.6850961538461539
sift,minibatch_kmeans,512,2048,,log-reg,True,0.3,0.6850961538461539
sift,minibatch_kmeans,512,2048,,cv-log-reg,False,0.3,0.6850961538461539
sift,minibatch_kmeans,256,1024,False,cv-log-reg,,,0.6826923076923077
sift,minibatch_kmeans,512,1024,,cv-log-reg,False,0.1,0.6802884615384616
sift,minibatch_kmeans,256,2048,False,cv-log-reg,,,0.6802884615384616
sift,minibatch_kmeans,512,1024,,cv-log-reg,True,0.2,0.6802884615384616
sift,minibatch_kmeans,256,1024,False,log-regr,,,0.6778846153846154
sift,minibatch_kmeans,256,512,False,svm,,,0.6778846153846154
sift,minibatch_kmeans,256,1024,False,log-regr,,,0.6778846153846154
sift,minibatch_kmeans,512,1024,,cv-log-reg,False,0.2,0.6778846153846154
sift,minibatch_kmeans,512,2048,False,log-regr,,,0.6754807692307693
sift,minibatch_kmeans,512,1024,,cv-log-reg,True,0.4,0.6730769230769231
sift,minibatch_kmeans,256,512,False,cv-log-reg,,,0.6706730769230769
sift,minibatch_kmeans,512,512,False,cv-log-reg,,,0.6706730769230769
sift,minibatch_kmeans,512,1024,,log-reg,False,0.3,0.6658653846153846
sift,minibatch_kmeans,512,1024,,log-reg,False,0.2,0.6658653846153846
sift,minibatch_kmeans,512,1024,,cv-log-reg,True,0.3,0.6634615384615384
sift,minibatch_kmeans,512,512,False,svm,,,0.6634615384615384
sift,minibatch_kmeans,512,1024,,cv-log-reg,True,0.1,0.6610576923076923
sift,minibatch_kmeans,512,1024,,cv-log-reg,False,0.3,0.6610576923076923
sift,minibatch_kmeans,512,1024,False,log-regr,,,0.65625
sift,minibatch_kmeans,512,1024,,log-reg,True,0.2,0.65625
sift,minibatch_kmeans,512,2048,,log-reg,False,0.1,0.65625
sift,minibatch_kmeans,512,1024,,log-reg,False,0.4,0.65625
sift,minibatch_kmeans,512,1024,,log-reg,True,0.4,0.6538461538461539
sift,minibatch_kmeans,512,1024,,log-reg,False,0.1,0.6538461538461539
sift,minibatch_kmeans,512,2048,,log-reg,True,0.2,0.6538461538461539
sift,minibatch_kmeans,256,2048,False,log-regr,,,0.6514423076923077
sift,minibatch_kmeans,512,1024,,cv-log-reg,False,0.4,0.6442307692307693
sift,minibatch_kmeans,512,1024,,svm,False,0.2,0.6394230769230769
sift,minibatch_kmeans,512,1024,False,log-regr,,,0.6370192307692307
sift,minibatch_kmeans,256,2048,False,log-regr,,,0.6322115384615384
sift,minibatch_kmeans,512,1024,,svm,True,0.1,0.6322115384615384
sift,minibatch_kmeans,512,1024,,log-reg,True,0.1,0.6322115384615384
sift,minibatch_kmeans,256,512,False,log-regr,,,0.6298076923076923
sift,minibatch_kmeans,512,1024,,svm,True,0.4,0.6274038461538461
sift,minibatch_kmeans,512,2048,,svm,True,0.3,0.6274038461538461
sift,minibatch_kmeans,512,2048,,svm,False,0.3,0.625
sift,minibatch_kmeans,256,512,False,log-regr,,,0.6225961538461539
sift,minibatch_kmeans,512,1024,,svm,True,0.3,0.6201923076923077
sift,minibatch_kmeans,512,1024,,svm,False,0.4,0.6177884615384616
sift,minibatch_kmeans,512,1024,,svm,False,0.3,0.6153846153846154
sift,minibatch_kmeans,512,2048,,svm,False,0.4,0.6129807692307693
sift,minibatch_kmeans,512,1024,,svm,True,0.2,0.6105769230769231
sift,minibatch_kmeans,512,512,False,log-regr,,,0.6081730769230769
sift,minibatch_kmeans,512,2048,,svm,True,0.2,0.6057692307692307
sift,minibatch_kmeans,512,2048,,svm,True,0.1,0.6057692307692307
sift,minibatch_kmeans,512,1024,,svm,False,0.1,0.6057692307692307
sift,minibatch_kmeans,512,2048,,svm,False,0.1,0.6009615384615384
sift,minibatch_kmeans,512,2048,,svm,True,0.4,0.59375
sift,minibatch_kmeans,512,2048,,svm,False,0.2,0.59375
sift,minibatch_kmeans,512,512,False,log-regr,,,0.5745192307692307
sift,minibatch_kmeans,256,512,False,log-regr,,,0.5600961538461539
sift,minibatch_kmeans,512,512,False,log-regr,,,0.5576923076923077
sift,minibatch_kmeans,256,512,,log-reg,False,0.1,0.5576923076923077
sift,minibatch_kmeans,512,512,False,ridge,,,0.5336538461538461
sift,minibatch_kmeans,512,2048,,cv-ridge,False,0.2,0.5336538461538461
sift,minibatch_kmeans,256,512,False,ridge,,,0.5336538461538461
sift,minibatch_kmeans,512,1024,,cv-ridge,True,0.2,0.5288461538461539
sift,minibatch_kmeans,512,1024,,cv-ridge,False,0.4,0.5264423076923077
sift,minibatch_kmeans,512,2048,,cv-ridge,False,0.4,0.5264423076923077
sift,minibatch_kmeans,256,512,False,cv-ridge,,,0.5264423076923077
sift,minibatch_kmeans,512,512,False,cv-ridge,,,0.5240384615384616
sift,minibatch_kmeans,512,1024,,cv-ridge,True,0.1,0.5168269230769231
sift,minibatch_kmeans,512,2048,,cv-ridge,False,0.1,0.5144230769230769
sift,minibatch_kmeans,512,2048,,cv-ridge,True,0.3,0.5120192307692307
sift,minibatch_kmeans,512,1024,,cv-ridge,True,0.4,0.5120192307692307
sift,minibatch_kmeans,512,1024,,cv-ridge,False,0.2,0.5120192307692307
sift,minibatch_kmeans,512,1024,,cv-ridge,True,0.3,0.5048076923076923
sift,minibatch_kmeans,512,1024,,cv-ridge,False,0.1,0.5048076923076923
sift,minibatch_kmeans,512,1024,,cv-ridge,False,0.3,0.4975961538461538
sift,minibatch_kmeans,512,2048,,cv-ridge,True,0.2,0.4975961538461538
orb,minibatch_kmeans,256,2048,False,svm,,,0.4927884615384615
sift,minibatch_kmeans,512,2048,,cv-ridge,True,0.4,0.4831730769230769
sift,minibatch_kmeans,512,1024,False,cv-ridge,,,0.4783653846153846
sift,minibatch_kmeans,512,2048,,cv-ridge,True,0.1,0.4759615384615384
orb,minibatch_kmeans,512,2048,False,cv-log-reg,,,0.4735576923076923
sift,minibatch_kmeans,256,1024,False,cv-ridge,,,0.46875
sift,minibatch_kmeans,512,2048,,cv-ridge,False,0.3,0.4567307692307692
orb,minibatch_kmeans,512,2048,False,svm,,,0.4567307692307692
orb,minibatch_kmeans,256,512,False,svm,,,0.4519230769230769
orb,minibatch_kmeans,256,1024,False,cv-log-reg,,,0.4519230769230769
orb,minibatch_kmeans,256,1024,False,svm,,,0.4519230769230769
orb,minibatch_kmeans,256,512,False,svm,,,0.4495192307692308
orb,minibatch_kmeans,512,512,False,svm,,,0.4471153846153846
orb,minibatch_kmeans,512,1024,False,svm,,,0.4447115384615384
sift,minibatch_kmeans,256,1024,False,ridge,,,0.4447115384615384
orb,minibatch_kmeans,512,512,False,cv-log-reg,,,0.4375
orb,minibatch_kmeans,512,1024,False,cv-log-reg,,,0.4350961538461538
orb,minibatch_kmeans,256,2048,False,cv-log-reg,,,0.4350961538461538
orb,minibatch_kmeans,256,2048,False,svm,,,0.4326923076923077
sift,minibatch_kmeans,512,1024,False,ridge,,,0.4302884615384615
orb,minibatch_kmeans,512,2048,False,svm,,,0.4254807692307692
sift,minibatch_kmeans,256,2048,False,cv-ridge,,,0.4254807692307692
orb,minibatch_kmeans,256,512,False,cv-log-reg,,,0.4230769230769231
orb,minibatch_kmeans,512,2048,False,log-regr,,,0.4206730769230769
orb,minibatch_kmeans,512,2048,,log-reg,False,0.3,0.4182692307692308
orb,minibatch_kmeans,256,1024,False,svm,,,0.4182692307692308
orb,minibatch_kmeans,512,1024,False,svm,,,0.4158653846153846
sift,minibatch_kmeans,512,2048,False,cv-ridge,,,0.4110576923076923
orb,minibatch_kmeans,256,2048,False,log-regr,,,0.4110576923076923
orb,minibatch_kmeans,512,2048,,cv-log-reg,False,0.1,0.4038461538461538
orb,minibatch_kmeans,512,512,False,svm,,,0.4038461538461538
orb,minibatch_kmeans,512,2048,,cv-log-reg,True,0.1,0.4014423076923077
orb,minibatch_kmeans,512,2048,False,log-regr,,,0.3990384615384615
orb,minibatch_kmeans,512,2048,,cv-log-reg,True,0.2,0.3942307692307692
orb,minibatch_kmeans,512,2048,,log-reg,True,0.4,0.3918269230769231
orb,minibatch_kmeans,512,2048,,log-reg,True,0.2,0.3918269230769231
orb,minibatch_kmeans,512,2048,,cv-log-reg,False,0.2,0.3870192307692308
orb,minibatch_kmeans,512,2048,,cv-log-reg,True,0.4,0.3846153846153846
orb,minibatch_kmeans,512,2048,,log-reg,True,0.1,0.3774038461538461
orb,minibatch_kmeans,512,2048,,cv-log-reg,False,0.4,0.3774038461538461
orb,minibatch_kmeans,512,1024,,cv-log-reg,True,0.3,0.3701923076923077
orb,minibatch_kmeans,512,1024,False,log-regr,,,0.3701923076923077
orb,minibatch_kmeans,512,2048,,log-reg,False,0.1,0.3677884615384615
orb,minibatch_kmeans,512,2048,,cv-log-reg,True,0.3,0.3653846153846153
orb,minibatch_kmeans,256,2048,False,log-regr,,,0.3653846153846153
orb,minibatch_kmeans,512,1024,,cv-log-reg,True,0.2,0.3629807692307692
orb,minibatch_kmeans,256,1024,False,log-regr,,,0.3605769230769231
orb,minibatch_kmeans,512,2048,,log-reg,False,0.4,0.3605769230769231
orb,minibatch_kmeans,512,2048,,log-reg,False,0.2,0.3605769230769231
orb,minibatch_kmeans,512,1024,,cv-log-reg,False,0.1,0.3605769230769231
orb,minibatch_kmeans,512,1024,,log-reg,True,0.2,0.3581730769230769
